,,,,,,,,,,,,,,,,,,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,,,,,,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,,,,,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,,,,,,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,,,,,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,,,,,,,,,,,,,,
9,MODUL AUDIT & KAWALAN DALAMAN,,,,,,,,,,,,,,,,,,,,,,
9.1,Penetapan oleh Admin Jabatan,,,,,,,,,,,,,,,,,,,,,,
9.1.1,"Produk creation untuk permohonan pembiayaan boleh ditetapkan oleh admin jabatan seperti contoh Maklumat produk, Mod Pengiraan, Ansuran & Pengeluaran dan Jadual Kos Proses Pembiayaan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.2,"Penetapan negeri, cawangan, sub cawangan (penetapan berdasarkan kawasan parlimen, dun dan zon) oleh admin jabatan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.3,"Penetapan kadar bayaran (owing, keuntungan, prinsipal, simpanan atau lain-lain) boleh dilakukan oleh admin jabatan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.4,"Penetapan sektor, aktiviti, sub-aktiviti dan lain-lain) boleh dilakukan oleh admin jabatan termasuk penetapan patuh syariah dan tidak patuh syariah.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.5,Penetapan template surat-surat rasmi secara digital oleh admin jabatan.,Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.6,Penetapan template notifikasi emel/WhatsApp/SMS termasuk penetapan untuk tempoh oleh admin jabatan contoh kategori tunggakan bermula tiga bulan ke atas untuk menerima notifikasi.,Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.7,"Penetapan penjadualan semula, jenis moratorium, tempoh moratorium oleh admin jabatan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.8,"Penetapan Pengurusan Akaun seperti pembatalan akaun, tolak tawaran.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.1.9,Penetapan SNC seperti tagging akaun sebagai SNC.,Mandatori,,,,,,,,,,,,,,,,,,,,,
9.2,Audit Trail Aktiviti Pengguna,,,,,,,,,,,,,,,,,,,,,,
9.2.1,"Petender hendaklah menyediakan fungsi jejak audit (audit trail) yang merekod semua aktiviti pengguna seperti log masuk/log keluar, paparan data sensitif, pengesahan/kelulusan, penghapusan data dan lain-lain yang akan ditetapkan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.2.2,"Petender hendaklah menyediakan log audit lengkap yang mengandungi ID pengguna, nama, peranan, tarikh, masa, lokasi IP, jenis tindakan, nilai asal/baharu dan lain-lain yang akan ditetapkan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.2.3,"Petender hendaklah menyediakan paparan log audit untuk semakan pihak audit dalaman dengan fungsi carian, filter dan penjanaan laporan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.2.4,"Petender hendaklah mengintegrasikan audit trail dengan kawalan akses (role?based access), menjana log percubaan dan memberi notifikasi kepada pentadbir sistem.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.2.5,"Petender hendaklah memastikan semua log audit disimpan sekurang?kurangnya 7 tahun dalam format read-only dan tamper?proof untuk tujuan audit keselamatan, litigasi / siasatan dalaman dan penilaian pematuhan (compliance audit) oleh badan kawal selia.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.2.6,"Petender hendaklah memastikan Laporan & Analitik Audit Trail	 dengan fungsi analitik dibangunkan untuk mengenal pasti pengguna yang kerap membuat perubahan tidak konsisten, menilai kelulusan luar dari norma operasi, menjejak potensi penyalahgunaan sistem dan lain-lain laporan analitik yang akan ditetapkan kemudian.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.3,Log Sistem & Perubahan Data Penting,,,,,,,,,,,,,,,,,,,,,,
9.3.1,"Petender hendaklah menyediakan log sistem menyeluruh termasuk status sistem / server, percubaan log masuk berjaya/gagal, masa aktif sesi pengguna, penggunaan sumber sistem dan aktiviti integrasi API.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.3.2,"Petender hendaklah merekod semua perubahan data penting seperti maklumat peminjam, jumlah pembiayaan, jadual bayaran, kadar keuntungan, status pembiayaan dan lain-lain.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.3.3,"Petender hendaklah menyediakan penjejakan perubahan rentas modul bagi semua data yang saling berkait seperti Modul Permohonan & Kelulusan ? Modul Disbursement, Modul Akaun Pembiayaan ? Modul Repayment dan Modul Litigasi ? Modul Cagaran. Jika baki pembiayaan diselaraskan, ia harus dicatat sebagai satu log perubahan kritikal dengan jejak audit yang lengkap.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.3.4,"Petender hendaklah memastikan semua log disimpan dalam format read?only dan tidak boleh dihapus atau diubah walaupun oleh pentadbir sistem, disimpan dalam lokasi berasingan atau sandaran untuk keselamatan tambahan dan menyokong prinsip non-repudiation (penolakan tidak sah).",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.3.5,"Petender hendaklah menyediakan paparan log kepada pengguna berperanan seperti pentadbir keselamatan atau auditor sahaja. Log boleh dicari, difilter, dan dijana dalam bentuk laporan berkala.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.3.6,"Petender hendaklah menyediakan sistem yang boleh diset untuk memberi amaran (alert) jika berlaku Perubahan luar kebiasaan, Kemaskini data tanpa justifikasi dan Aktiviti luar waktu pejabat atau dari lokasi luar biasa. Integrasi dengan modul pemantauan untuk pengesanan awal anomali (early warning system).",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.4,Hak Akses Berasaskan Peranan (Role?Based Access),,,,,,,,,,,,,,,,,,,,,,
9.4.1,"Petender hendaklah membangunkan pengurusan peranan (role management) untuk pelbagai kategori pengguna seperti Pegawai Pinjaman, Pegawai Disbursement, Auditor, Admin Jabatan dan Pentadbir Sistem. Penetapan oleh pentadbir sistem sekiranya terdapat penambahan roles.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.4.2,"Setiap peranan akan ditetapkan hak akses yang berbeza berdasarkan Modul boleh dilihat atau diakses (contoh bajet tahunan, kalkulator pembiayaan, kalendar), Fungsi yang boleh dijalankan (view, edit, approve, delete, download) dan Data yang boleh dicapai (contohnya, hanya untuk cawangan tertentu).",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.4.3,"Petender hendaklah menetapkan tahap akses berdasarkan modul dan fungsi, selaras dengan prinsip “segregation of duties”. Contoh pengawalan akses berdasarkan peranan Pegawai Disbursement hanya boleh meluluskan pengeluaran dana tetapi tidak boleh mengubah kelulusan pembiayaan, Pegawai Audit hanya boleh melihat log audit dan tidak boleh menyunting data, Pegawai Negeri hanya boleh melihat rekod penerima biaya dari negeri sendiri, bukan negeri lain.",Mandatori,,,,,,,,,,,,,,,,,,,,,
9.4.4,"Petender hendaklah menyediakan pengesahan identiti selamat dengan ID pengguna, kata laluan selamat dan 2?Factor Authentication untuk peranan kritikal dan kawalan lokasi atau IP address untuk akses luar.",Mandatori,,,,,,,,,,,,,,,,,,,,,
