,,,,,,,,,,,,,,,,,,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,,,,,,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,,,,,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,,,,,,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,,,,,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,,,,,,,,,,,,,,
12,MODUL PEMANTAUAN USAHAWAN (POST- DISBURSEMENT),,,,,,,,,,,,,,,,,,,,,,
12.1,PENILAIAN PRESTASI DAN STATUS PERNIAGAAN USAHAWAN,,,,,,,,,,,,,,,,,,,,,,
12.1.1,"Petender hendaklah menyediakan sistem untuk pengumpulan maklumat prestasi perniagaan usahawan secara berkala seperti jualan bulanan, keuntungan kasar dan bersih, bilangan pelanggan atau transaksi, status stok atau inventori, lokasi serta bilangan cawangan perniagaan, jumlah pekerja, aset yang dimiliki, saiz keluasan kedai, pensijilan yang diperoleh, serta rekod penyertaan dalam kursus sama ada anjuran TEKUN atau pihak luar (contoh nama kursus beserta pihak penganjur, tarikh dan masa pelaksanaan, lokasi penganjuran, tempoh keseluruhan kursus, kadar bayaran (jika ada), serta lain-lain). Selain itu, ia turut melibatkan maklumat penerimaan geran atau bantuan daripada kementerian atau agensi lain, bilangan premis atau cawangan berdaftar, pendapatan usahawan dan isi rumah, serta lain-lain maklumat sokongan yang relevan bagi menilai prestasi dan tahap keupayaan perniagaan secara keseluruhan. Pengumpulan maklumat boleh dilakukan secara Lawatan fizikal, Dalam talian (Online) dan Pengisian borang digital oleh penerima biaya.
Nota: Penambahan maklumat boleh dilakukan oleh admin jabatan mengikut keperluan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.2,Petender hendaklah menyediakan maklumat Kategori PMKS berdasarkan parameter Jualan tahunan dan bilangan pekerja. Skala PMKS adalah mengikut skala SME Corp terkini.,Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.3,"Petender hendaklah menyediakan ruang khusus untuk pegawai menilai serta menandakan (tagging) status semasa perniagaan seperti aktif dan berkembang, stabil, menurun, tidak aktif atau telah menutup operasi atau selesai bayaran, serta kategori tidak berpotensi seperti kematian, tidak berniaga, hilang/MIA atau rekod bayaran pembiayaan yang tidak baik, termasuk lain-lain penetapan yang ditentukan oleh admin pengguna. Selain itu, pegawai turut boleh mengemaskini faktor luaran yang mempengaruhi prestasi perniagaan seperti cabaran pasaran, gangguan operasi, bencana atau pandemik, faktor penutupan, tahap produktiviti, rancangan masa depan perniagaan, serta penetapan tambahan lain yang dibenarkan oleh admin pengguna.",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.4,"Petender hendaklah menyediakan fungsi pengumpulan dan pengurusan dokumen sokongan dengan menyimpan pelbagai bahan berkaitan seperti penyata jualan, penyata bank, gambar premis, gambar produk, gambar terkini usahawan, gambar aktiviti jual beli serta aset, gambar jenama atau papan tanda, invois dan resit jualan, surat pernyataan daripada penerima biaya, dokumen pengiktirafan pensijilan seperti HALAL, GMP dan Homebased, dokumen atau sijil kursus, akaun beraudit, serta lain-lain dokumen yang ditetapkan oleh admin pengguna bagi tujuan verifikasi, pemantauan dan penilaian perniagaan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.5,"Petender hendaklah membangunkan fungsi Profiling Usahawan yang membolehkan usahawan memuat naik sendiri sijil atau dokumen berkaitan melalui dashboard. Sijil baharu yang ditambah hasil penyertaan kursus atau program pembangunan keusahawanan akan meningkatkan skor penilaian, sekali gus menyokong kelayakan usahawan untuk dikategorikan sebagai Usahawan Berjaya.




",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.6,"Petender hendaklah menyediakan fungsi yang menjana skor prestasi dan penilaian risiko perniagaan secara automatik berdasarkan indikator kewangan dan bukan kewangan, seterusnya meletakkan usahawan dalam kategori risiko yang bersesuaian. Klasifikasi tersebut merangkumi tahap seperti Biru–Cemerlang (5), Biru–Berjaya (4), Hijau–Potensi (3), Kuning–Memuaskan (2), Merah–Rendah (1), Merah–Lemah (0), serta penarafan tambahan seperti Risiko Sederhana dan Risiko Tinggi, bagi memberikan gambaran jelas terhadap kedudukan prestasi serta tahap risiko perniagaan.
Nota: Penambahan maklumat boleh dilakukan oleh admin jabatan mengikut keperluan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.7,"Petender hendaklah menyediakan fungsi mekanisme Pengesanan Isu Awal (Early Warning System) di mana, sekiranya skor prestasi perniagaan jatuh di bawah paras had yang ditetapkan, sistem akan menghantar amaran kepada pegawai pemantau bagi membolehkan tindakan susulan diambil dengan segera, termasuk cadangan intervensi seperti sesi bimbingan atau mentor, kaunseling keusahawanan, ataupun penjadualan semula pembiayaan mengikut keperluan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.8,"Petender hendaklah menyediakan fungsi yang berintegrasi dengan dashboard pengurusan bagi memaparkan data prestasi usahawan secara langsung melalui indikator KPI, serta disambungkan dengan modul-modul lain seperti Modul Kutipan bagi memantau peningkatan risiko bayaran, Modul Pembangunan Usahawan untuk keperluan latihan dan sokongan lanjut, Modul Pembiayaan mengikut produk, Modul Bayaran Pembiayaan, serta modul tambahan lain yang ditetapkan oleh admin pengguna, sekali gus memastikan ekosistem pemantauan dan pengurusan usahawan yang lebih menyeluruh dan bersepadu.
Nota: Penentuan kategori boleh dilakukan oleh admin pengguna berdasarkan perubahan parameter yang akan ditetapkan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.1.9,"Petender hendaklah menyediakan fungsi Audit Log dan Laporan Berkala dengan merekodkan maklumat penting seperti tarikh lawatan pemantauan, kawasan atau cawangan yang dilawati, pegawai yang terlibat, keputusan lawatan bersama tindakan susulan, serta catatan tambahan, dan seterusnya membolehkan laporan pemantauan dijana secara berkala seperti bulanan, suku tahunan atau lain-lain yang ditetapkan.
Nota: Penentuan kategori boleh dilakukan oleh admin pengguna berdasarkan perubahan parameter yang akan ditetapkan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
12.2,LAWATAN SUSULAN DAN LAPORAN PEMANTAUAN LAPANGAN,,,,,,,,,,,,,,,,,,,,,,
12.2.1,"Petender hendaklah membangunkan fungsi penjadualan lawatan susulan melalui sistem kalendar dalaman serta menerima tugasan yang dihantar oleh HQ berdasarkan skor risiko usahawan, termasuk tetapan kekerapan lawatan seperti setiap tiga atau enam bulan sekali, serta konfigurasi lain yang akan ditetapkan dari semasa ke semasa. Sistem turut menghantar notifikasi automatik kepada pegawai berkaitan dan kepada penerima biaya melalui SMS, e-mel atau WhatsApp sebagai makluman awal sebelum lawatan dijalankan.
Nota : Penentuan kategori boleh dilakukan oleh admin pengguna berdasarkan perubahan parameter yang akan ditetapkan",Mandatori,,,,,,,,,,,,,,,,,,,,,
