,,,,,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,
3,MODUL PENGELUARAN DANA,,,,,,,,,
3.1,Pengesahan Maklumat Akaun Penerima & Transaksi BSAS,,,,,,,,,
3.1.1,"Petender hendaklah membangunkan fungsi pengesahan maklumat akaun penerima (Contoh No. Akaun, Nama Bank, Nama Pemohon) secara automatik melalui integrasi dengan sistem perbankan / DuitNow ID atau semakan digit melalui kaedah Checksum / check-digit.",Mandatori,,,,,,,,
3.1.2,"Sistem mestilah dilengkapi dengan AI Fraud Detection untuk mengesan akaun penerima yang meragukan, akaun tidak aktif, akaun pihak ketiga mencurigakan, atau sebarang cubaan transaksi ke akaun tidak sah.",Mandatori,,,,,,,,
3.1.3,"Petender perlu memastikan semua proses pengesahan direkodkan dalam audit trail (tarikh, masa, ID pegawai, keputusan pengesahan, nombor rujukan bank, dan status transaksi).",Mandatori,,,,,,,,
3.1.4,Sistem hendaklah menyokong validasi maklumat penerima secara real-time dengan maklumat bank untuk mengelakkan ralat pemindahan dana.,Mandatori,,,,,,,,
3.1.5,Petender hendaklah memastikan semua transaksi yang melibatkan produk berasaskan Syariah melalui Bursa Suq Al-Sila’ (BSAS) direkod dan disahkan mengikut piawaian yang diluluskan Jawatankuasa Syariah TEKUN.,Mandatori,,,,,,,,
3.1.6,Sistem mestilah mempunyai fungsi dual verification (contoh: semakan automatik oleh sistem + pengesahan manual pegawai bagi jumlah tertentu) sebelum transaksi BSAS dilaksanakan.,Mandatori,,,,,,,,
3.1.7,Petender perlu menyediakan mekanisme notifikasi automatik kepada pegawai (SMS/Email/Portal) apabila pengesahan akaun dan transaksi BSAS selesai.,Mandatori,,,,,,,,
3.1.8,"Semua data pengesahan akaun dan transaksi BSAS hendaklah disimpan secara selamat dengan enkripsi AES-256 semasa transit dan storan, serta mematuhi piawaian keselamatan ISO 27001 dan keperluan RMiT BNM.",Mandatori,,,,,,,,
3.1.9,"Petender bertanggungjawab menyediakan dashboard kawalan & pemantauan untuk pegawai TEKUN dan pemohon bagi memantau status pengesahan akaun penerima, transaksi BSAS, serta sebarang isu yang timbul dan status berkaitan yang bersesuaian yang akan ditetapkan.",Mandatori,,,,,,,,
3.1.10,"Sistem hendaklah menyokong exception handling & reporting sekiranya berlaku kegagalan pengesahan akaun atau kegagalan transaksi BSAS, lengkap dengan log ralat untuk tindakan susulan.",Mandatori,,,,,,,,
3.2,"Transaksi MyGDX, Takaful, Wasiat dan PERKESO",,,,,,,,,
3.2.1,"Petender hendaklah memastikan semua transaksi yang melibatkan MyGDX, takaful (wajib), wasiat (pilihan) dan PERKESO (pilihan) direkod dan disahkan mengikut piawaian yang ditetapkan.",Mandatori,,,,,,,,
3.2.2,"Petender perlu menyediakan mekanisme notifikasi automatik kepada pegawai (SMS/Email/Portal) apabila pengesahan akaun dan transaksi MyGDX, Takaful, Wasiat dan PERKESO selesai.",Mandatori,,,,,,,,
3.2.3,"Semua data pengesahan akaun dan transaksi MyGDX, Takaful, Wasiat dan PERKESO hendaklah disimpan secara selamat dengan enkripsi AES-256 semasa transit dan storan, serta mematuhi piawaian keselamatan ISO 27001 dan keperluan RMiT BNM.",Mandatori,,,,,,,,
3.2.4,"Petender bertanggungjawab menyediakan dashboard kawalan & pemantauan untuk pegawai TEKUN dan pemohon bagi memantau status pengesahan akaun penerima, transaksi MyGDX, Takaful, Wasiat dan PERKESO, serta sebarang isu yang timbul dan status berkaitan yang bersesuaian yang akan ditetapkan.",Mandatori,,,,,,,,
3.2.5,"Sistem hendaklah menyokong exception handling & reporting sekiranya berlaku kegagalan pengesahan akaun atau kegagalan transaksi MyGDX, Takaful, Wasiat dan PERKESO, lengkap dengan log ralat untuk tindakan susulan.",Mandatori,,,,,,,,
3.3,Potongan Pengeluaran,,,,,,,,,
3.3.1,"Petender hendaklah memastikan semua potongan bayaran dikemaskini dan direkod selepas proses EFT dilaksanakan contoh seperti advance payment, yuran kursus, takaful, wasiat, PERKESO dan lain-lain.",Mandatori,,,,,,,,
3.4,Penyediaan Dokumen Undang-Undang (Legal Documents – Pra-Disbursement),,,,,,,,,
3.4.1,"Petender hendaklah membangunkan modul penjanaan automatik dokumen undang-undang utama termasuk Perjanjian Pembiayaan, Surat Ikatan/Akuan Sumpah, dan Jadual Bayaran Balik berdasarkan template rasmi TEKUN.",Mandatori,,,,,,,,
3.4.2,"Sistem mestilah menyokong digital signing (e-signature) / biometric signing oleh pegawai berautoriti dan pemohon, serta mematuhi Akta Tandatangan Digital Malaysia 1997.",Mandatori,,,,,,,,
3.4.3,Semua dokumen undang-undang mestilah disimpan dalam legal document repository berpusat dengan kawalan akses berasaskan peranan (RBAC) dan enkripsi AES-256.,Mandatori,,,,,,,,
3.4.4,"Sistem hendaklah memastikan integrasi dengan Modul Disbursement, di mana pelepasan dana hanya dibenarkan selepas dokumen undang-undang lengkap, sah dan disahkan.",Mandatori,,,,,,,,
3.5,Pengeluaran Dana Secara Penuh atau Berperingkat,,,,,,,,,
3.5.1,Sistem hendaklah menyokong pengeluaran dana sama ada secara penuh atau berperingkat mengikut kelulusan pembiayaan dan garis panduan TEKUN.,Mandatori,,,,,,,,
3.5.2,"Petender hendaklah membangunkan fungsi jadual pelepasan dana dinamik (contoh: 100% atau mengikut fasa 1 – 40%, fasa 2 – 30%, fasa 3 – 30%) dengan notifikasi automatik kepada pemohon melalui SMS/Email/Portal.",Mandatori,,,,,,,,
3.5.3,"Petender perlu menyediakan paparan status pengeluaran dana melalui portal pemohon dan dashboard pegawai, lengkap dengan nombor transaksi, tarikh, jumlah dilepaskan, dan baki kelulusan.",Mandatori,,,,,,,,
3.5.4,Sistem hendaklah menyokong AI Monitoring yang menjejak corak penggunaan dana dan memberi amaran awal sekiranya terdapat ketidakselarasan (contoh: pemohon belum menyerahkan bukti penggunaan tetapi memohon pelepasan fasa berikutnya).,Mandatori,,,,,,,,
3.5.5,"Petender hendaklah memastikan setiap pelepasan dana direkodkan dalam audit trail termasuk pegawai yang meluluskan, tarikh/masa, jumlah, dan syarat pelepasan.",Mandatori,,,,,,,,
3.5.6,Sistem mestilah mempunyai mekanisme approval workflow berlapis (contoh: Pegawai Cawangan ? Pegawai Negeri ? Ibu Pejabat) bagi pelepasan dana berperingkat.,Mandatori,,,,,,,,
3.5.7,Petender perlu menyediakan fungsi exception handling untuk kes kelulusan khas dengan kawalan dual approval.,Mandatori,,,,,,,,
3.5.8,Sistem hendaklah menyokong fungsi auto-reminder kepada pemohon dan pegawai sekiranya tempoh masa antara fasa pengeluaran melepasi tempoh yang ditetapkan (contoh: 90 hari tanpa tuntutan pengeluaran).,Mandatori,,,,,,,,
3.5.9,Petender bertanggungjawab memastikan modul pengeluaran dana ini boleh diintegrasikan dengan Modul Pemantauan Usahawan supaya pegawai boleh menyemak status prestasi sebelum pengeluaran berikutnya dibuat.,Mandatori,,,,,,,,
3.5.10,Petender hendaklah memastikan sistem boleh melaksanakan pengeluaran secara batch dan boleh melaksanakan proses batch semula (re-batch)sekiranya terdapat isu pada batch yang lama,Mandatori,,,,,,,,
3.6,Integrasi dengan Sistem Perbankan (EFT / IBG),,,,,,,,,
3.6.1,"Sistem hendaklah menyokong integrasi dengan perbankan melalui EFT, IBG, FPX, dan DuitNow untuk pemindahan dana terus ke akaun penerima dengan pemprosesan real-time atau batch mengikut keperluan.",Mandatori,,,,,,,,
3.6.2,"Petender hendaklah memastikan integrasi ini dibangunkan menggunakan Secure Banking API Gateway dengan enkripsi AES-256/TLS 1.3, serta patuh kepada piawaian ISO 20022, PCI DSS, dan keperluan keselamatan Bank Negara Malaysia (BNM-RMiT).",Mandatori,,,,,,,,
