,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,
4,MODUL PENGURUSAN AKAUN PEMBIAYAAN,,,,,
4.1,Penciptaan Akaun Pinjaman,,,,,
4.1.1,"Petender hendaklah membangunkan fungsi create akaun pembiayaan secara automatik berdasarkan data permohonan yang telah lengkap, disahkan dan diluluskan daripada Modul 2 (Penilaian & Kelulusan) dan Modul 3 (Disbursement). Proses ini mestilah berjalan secara automatik bagi mengelakkan ralat dan memastikan kesinambungan data.",Mandatori,,,,
4.1.2,"Sistem mestilah menjana nombor akaun pinjaman yang unik secara automatik mengikut format piawaian TEKUN (contoh: kod cawangan, tahun, dan nombor siri akaun). Nombor akaun ini perlu konsisten di semua modul dan sistem integrasi.",Mandatori,,,,
4.1.3,"Semua maklumat asas pembiayaan (contoh: jumlah pembiayaan, tempoh pembiayaan, jadual ansuran, kadar keuntungan, cagaran, status kelulusan) mestilah dipindahkan secara automatik ke dalam rekod akaun pinjaman.",Mandatori,,,,
4.1.4,"Sistem mestilah menghubungkan akaun baharu secara automatik dengan modul-modul lain seperti Repayment, Pemantauan, Kutipan dan Analitik untuk memastikan kelancaran operasi tanpa perlu input manual berganda.",Mandatori,,,,
4.1.5,"Semua aktiviti create akaun mestilah direkodkan dalam audit trail lengkap (ID pengguna, tarikh, masa, lokasi akses/IP address, status). Ini bagi memastikan pematuhan kepada piawaian keselamatan maklumat (ISO 27001 & RMiT BNM).",Mandatori,,,,
4.1.6,Sistem mestilah menghantar notifikasi automatik (SMS/Email/Portal) kepada pemohon sebaik sahaja akaun pinjaman berjaya diwujudkan berserta nombor akaun rasmi untuk rujukan.,Mandatori,,,,
4.1.7,"Pelaksanaan PSAT seperti  Minit PSAT (digital atau upload dokumen), Penjanaan senarai kutipan mingguan, Kemaskini kehadiran usahawan dan lain-lain keperluan penggunaan PSAT.",Mandatori,,,,
4.2,Fungsi carian dinamik,,,,,
4.2.1,"Fungsi carian dinamik ini membolehkan pengguna membuat pencarian berdasarkan pelbagai parameter termasuk nombor kad pengenalan (IC), nama individu, nama syarikat, nombor SSM serta nombor pengesahan seperti PUKONSA, PKK, CIDB atau UPKJ selain parameter tambahan lain yang boleh ditetapkan mengikut keperluan. Ciri ini turut menyediakan cadangan carian secara automatik melalui AI suggest prompt bagi mempercepat dan memudahkan proses pencarian.",Mandatori,,,,
4.2.2,"Ada shortcut fungsi/modul yang kerap digunakan oleh pegawai seperti semakan status permohonan, semakan baki pembiayaan, penukaran no telefon dan lain-lain yang akan ditetapkan kemudian.
Fungsi boleh dikawal oleh admin.",Mandatori,,,,
4.3,Penjadualan Ansuran Pembiayaan (Instalmen),,,,,
4.3.1,"Sistem mestilah menyokong fungsi penjadualan ansuran pembayaran (instalmen) secara automatik mengikut jumlah pembiayaan, tempoh bayaran balik dan kadar keuntungan yang diluluskan.
Nota:Contoh mengikut Standard Piawaian Perakaunan (Penggunaan Rules 78) 70:30.",Mandatori,,,,
4.3.2,"Penetapan tarikh mula bayar oleh pegawai berdasarkan tarikh pengeluaran terakhir atau selepas tempoh moratorium (jika diberi).
Nota:Penetapan tarikh mula bayar oleh admin jabatan secara auto dan boleh dipinda sekiranya perlu (contoh disburse by cheque).",Mandatori,,,,
4.3.3,"Petender hendaklah membolehkan pegawai menyesuaikan jadual ansuran (contoh: mingguan, bulanan, suku tahun) berdasarkan keperluan pemohon atau keputusan jawatankuasa.
Nota:Penetapan parameter ditentukan oleh admin jabatan (contoh bayaran mengikut musim dan sebagainya).",Mandatori,,,,
4.3.4,Sistem perlu menghasilkan jadual bayaran rasmi yang boleh dimuat turun/dicetak dalam format PDF/Excel.,Mandatori,,,,
4.3.5,Notifikasi automatik (SMS/Email/Portal) perlu dihantar kepada pemohon mengenai jadual ansuran yang telah diluluskan.,Mandatori,,,,
4.3.6,"Semua jadual ansuran mestilah direkodkan dalam audit trail lengkap (ID pegawai, tarikh, masa, versi jadual, perubahan jika ada).",Mandatori,,,,
4.3.7,Sistem perlu menyediakan simulasi jadual ansuran yang membolehkan pegawai dan pemohon menilai pelbagai senario pembayaran sebelum pelaksanaan sebenar.,Mandatori,,,,
4.3.8,Penyediaan notifikasi atau paparan peringatan (popup) bayaran secara automatik kepada pengguna.,Mandatori,,,,
4.4,Penetapan Kadar Keuntungan Tetap atau Berubah,,,,,
4.4.1,"Sistem hendaklah membenarkan penetapan kadar keuntungan sama ada tetap (fixed) atau berubah (floating rate) mengikut dasar semasa.
Nota:Penetapan oleh admin jabatan.",Mandatori,,,,
4.4.2,"Petender perlu memastikan kadar keuntungan boleh dikonfigurasi oleh pegawai TEKUN berdasarkan garis panduan BNM & Jawatankuasa Syariah.
Nota:Penetapan oleh admin jabatan",Mandatori,,,,
4.4.3,"Sistem mestilah mengira semula jadual ansuran sekiranya kadar keuntungan berubah selepas kelulusan berdasarkan perubahan tarikh terkini.
Nota:Penetapan oleh admin jabatan",Mandatori,,,,
4.4.4,Notifikasi automatik perlu dihantar kepada pemohon sekiranya berlaku perubahan kadar keuntungan.,Mandatori,,,,
4.4.5,"Semua perubahan kadar keuntungan mestilah direkodkan dalam audit trail dengan butiran tarikh, masa, pegawai, dan alasan perubahan, selaras dengan keperluan ISO 27001 dan RMiT BNM.",Mandatori,,,,
4.5,Penetapan Kadar Simpanan Pembiayaan & Pengeluaran Simpanan / Lebihan,,,,,
4.5.1,"Sistem hendaklah membenarkan penetapan kadar simpanan mengikut polisi semasa TEKUN Nasional.
Nota:Penetapan oleh admin jabatan.",Mandatori,,,,
4.5.2,"Petender perlu memastikan kadar simpanan boleh dikonfigurasi oleh pegawai TEKUN berdasarkan garis panduan BNM & Jawatankuasa Syariah.
Nota:Penetapan oleh admin jabatan",Mandatori,,,,
4.5.3,"Sistem mestilah mengira semula jadual ansuran sekiranya kadar simpanan berubah selepas kelulusan berdasarkan perubahan tarikh terkini.
Nota:Penetapan oleh admin jabatan.",Mandatori,,,,
4.5.4,Notifikasi automatik perlu dihantar kepada pemohon sekiranya berlaku perubahan kadar simpanan atau pengeluaran simpanan.,Mandatori,,,,
4.5.5,"Semua perubahan kadar simpanan mestilah direkodkan dalam audit trail dengan butiran tarikh, masa, pegawai, dan alasan perubahan, selaras dengan keperluan ISO 27001 dan RMiT BNM.",Mandatori,,,,
4.5.6,"Pengeluaran simpanan selepas selesai bayaran pembiayaan dan akaun auto close selepas EFT simpanan.
Nota:Penetapan oleh admin jabatan.",Mandatori,,,,
4.5.7,Sistem perlu menghasilkan baucer bayaran rasmi yang boleh dimuat turun/dicetak dalam format PDF/Excel.,Mandatori,,,,
4.5.8,Pengeluaran Simpanan selepas akaun berstatus Selesai Bayar.,Mandatori,,,,
4.5.9,"Bayaran lebihan Kontrak-i hanya akan diproses selepas bayaran projek daripada Kerajaan diterima serta semua pengemaskinian akaun usahawan diselesaikan dan ditutup. Akaun yang lengkap membuat bayaran (Pokok + Caj + Owing) akan ditamatkan secara automatik manakala sistem akan menyekat sebarang pelarasan jika masih terdapat baki owing. Selain itu, cawangan tidak dibenarkan mengakses atau mengemaskini pelarasan akaun, perubahan status Akaun Aktif/Write-off kepada Selesai Bayar atau sebaliknya serta maklumat Akaun Bank syarikat.",Mandatori,,,,
4.5.10,Sistem hendaklah menyediakan mekanisme untuk menggabungkan (combine) semua rekod simpanan tersebut secara automatik ke dalam satu rekod simpanan bersepadu bagi setiap akaun usahawan.,Mandatori,,,,
4.6,Tracking Baki & Status Akaun,,,,,
4.6.1,"Sistem mestilah memaparkan baki pinjaman semasa (pokok, keuntungan, simpanan, penalti, tunggakan, dan baki akhir) secara masa nyata (real-time) untuk rujukan pemohon dan pegawai dengan integrasi data terus daripada modul pembayaran dan perbankan (mengikut kesesuaian).",Mandatori,,,,
4.6.2,"Status akaun pinjaman mestilah dikemaskini secara automatik (contoh: Aktif, Selesai, NPF, Dibekukan, Batal) berdasarkan transaksi pembayaran, keputusan pentadbiran atau tindakan undang-undang.",Mandatori,,,,
4.6.3,Sistem perlu menghantar peringatan mesra (soft reminder) melalui dashboard pegawai seliaan dan SMS/Email/Push Notification kepada pemohon apabila menghampiri tarikh bayaran (penetapan tempoh oleh admin jabatan).,Mandatori,,,,
4.6.4,"Sistem perlu menghantar amaran automatik (auto-alert) melalui SMS/Email/Push Notification kepada pegawai dan pemohon apabila baki mencapai tahap kritikal, tunggakan melepasi had polisi atau akaun hampir tamat tempoh.",Mandatori,,,,
4.6.5,"Dashboard interaktif perlu disediakan untuk pegawai HQ dan cawangan bagi menjejaki baki akaun mengikut negeri, cawangan, produk, kategori risiko, trend pembayaran dan lain-lain yang ditetapkan oleh pegawai. Dashboard hendaklah dilengkapi AI Risk Scoring Indicator untuk mengenal pasti akaun berisiko tinggi lebih awal.",Mandatori,,,,
4.6.6,"Semua baki pinjaman mestilah dipadankan secara automatik (auto-reconciliation) dengan penyata bank dan modul pembayaran, serta memberi AI Exception Detection untuk mengesan rekod yang tidak sepadan, duplikasi transaksi atau anomali bayaran.",Mandatori,,,,
4.6.7,"Sistem mestilah membolehkan penjanaan laporan baki & status akaun secara dinamik dalam pelbagai format (PDF, Excel, CSV), termasuk AI-Generated Predictive Report untuk mengunjurkan risiko kelewatan pembayaran dan kadar NPL (Non-Performing Loan). Contoh laporan adalah Laporan individu (penerima biaya), Laporan agregat (negeri, produk, status), Perjumpaan mingguan, Rekod perjumpaan, Laporan kutipan dan Status PSAT. Fungsi ini penting untuk laporan prestasi dan pemantauan dalaman.",Mandatori,,,,
4.6.8,"Modul AI Predictive perlu dibangunkan untuk memantau corak pembayaran peminjam secara berterusan, mengenal pasti early warning signals (contoh: bayaran tidak konsisten, tunggakan meningkat) dan memberi cadangan tindakan awal kepada pegawai.",Mandatori,,,,
4.6.9,"Pemantauan Status Kredit ditetapkan secara automatik seperti contoh Aktif, Tertunggak, NPF (Non-Performing Financing), Write Off dan lain-lain yang akan ditetapkan.
Nota: Admin jabatan boleh mengkonfigurasi status secara harian atau berkala.",Mandatori,,,,
4.6.10,"Pemantauan Status Akaun berubah secara automatik berdasarkan perubahan pada status akaun sedia ada seperti Reschedule / Restructure, Tidak aktif / Ditamatkan, Meninggal dunia, Muflis, Dibekukan dan lain-lain yang akan ditetapkan
Nota:Penetapan oleh admin jabatan secara harian atau berkala.",Mandatori,,,,
4.6.11,Kawalan Akses & Audit Trail di mana hanya pegawai tertentu boleh mengemaskini maklumat secara manual (jika perlu). Semua kemaskini dan transaksi direkodkan dengan cap masa dan ID pengguna.,Mandatori,,,,
4.7,Penstrukturan Semula (Reschedule / Restructure),,,,,
4.7.1,"Petender hendaklah membangunkan fungsi yang membolehkan peminjam mengemukakan permohonan penstrukturan semula (reschedule/restructure) melalui Portal Pemohon, termasuk juga penerimaan permohonan secara digital di cawangan, Surat manual (dimuat naik oleh pegawai), Borang Permohonan PS dijana secara digital dan pengesahan secara workflow. Permohonan hendaklah disertakan dengan dokumen sokongan yang relevan seperti rayuan rasmi, bukti kejatuhan jualan/aliran tunai, minit mesyuarat PSAT (digital atau upload dokumen) atau dokumen lain yang ditetapkan oleh TEKUN.
Nota:Penetapan dokumen tambahan oleh admin jabatan.",Mandatori,,,,
4.7.2,"Penjadualan semula hanya sah selepas Disemak oleh pegawai, Diluluskan oleh pegawai kelulusan dalaman dan Penambahan level pengesahan PS. Surat penjadualan semula akan dijana secara automatik dan dihantar kepada penerima biaya untuk pengesahan.",Mandatori,,,,
4.7.3,"Petender perlu menyediakan aliran kerja penilaian berstruktur oleh pegawai TEKUN yang merangkumi semakan status akaun (NPF, tertunggak, aktif), sejarah pembayaran balik, rekod tunggakan, cagaran (jika ada), dokumen sokongan dan baki owing diselesaikan terlebih dahulu serta cadangan tindakan lanjut seperti pemberian moratorium, pengurangan ansuran, tempoh pembayaran baharu.",Mandatori,,,,
4.7.4,"Semua permohonan penstrukturan semula mestilah melalui workflow kelulusan berperingkat (contoh: pegawai cawangan ? penyelia negeri ? Jawatankuasa HQ), dengan kawalan akses berasaskan peranan (Role-Based Access Control – RBAC) bagi menjamin integriti proses kelulusan.",Mandatori,,,,
4.7.5,"Petender dikehendaki membangunkan fungsi penjanaan simulasi jadual bayaran baharu secara automatik yang mengambil kira baki pembiayaan semasa, tempoh tambahan, kadar keuntungan terkini dan syarat khas lain. Fungsi ini hendaklah boleh digunakan oleh pegawai dan penerima biaya.",Mandatori,,,,
