,,,,,,,,,,,,,,,,,,,,,,,
PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,,,,,,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,,,,,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,,,,,,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,,,,,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,,,,,,,,,,,,,,
11,MODUL PENGURUSAN JAMINAN / CAGARAN,,,,,,,,,,,,,,,,,,,,,,
11.1,Perekodan Cagaran (Collateral Registration),,,,,,,,,,,,,,,,,,,,,,
11.1.1,"Petender hendaklah menyediakan fungsi perekodan cagaran hendaklah merangkumi pengurusan dan dokumentasi semua jenis cagaran termasuk, tetapi tidak terhad kepada, cagaran inden, SST, Purchase Order (PO), Letter of Offer (LO) dan dokumen berkaitan lain, bagi memastikan ketelusan, ketepatan rekod serta pematuhan terhadap prosedur pembiayaan yang ditetapkan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
11.1.2,"Petender perlu membangunkan fungsi muat naik dokumen sokongan cagaran seperti inden, SST, Purchase Order (PO), Letter of Offer (LO) dan dokumen berkaitan lain.",Mandatori,,,,,,,,,,,,,,,,,,,,,
11.1.3,Petender dikehendaki menyediakan modul klasifikasi dan penilaian cagaran termasuk kategori risiko (rendah/tinggi) dan kesesuaian nilai cagaran dengan jumlah pinjaman.,Mandatori,,,,,,,,,,,,,,,,,,,,,
11.1.4,"Petender hendaklah membangunkan fungsi penetapan status cagaran (Aktif, Tamat Tempoh, Dilepaskan, Ditolak) yang dikemaskini secara automatik.",Mandatori,,,,,,,,,,,,,,,,,,,,,
11.1.5,Petender perlu memastikan setiap cagaran dipautkan dengan rekod pinjaman berkaitan dan status dikemaskini sekiranya berlaku penjadualan semula pinjaman.,Mandatori,,,,,,,,,,,,,,,,,,,,,
11.1.6,Petender dikehendaki menyediakan notifikasi kepada penerima biaya jika cagaran tamat tempoh atau perlu diganti dan jejak audit automatik untuk sebarang perubahan maklumat atau status cagaran.,Mandatori,,,,,,,,,,,,,,,,,,,,,
11.1.7,Petender dikehendaki menyediakan notifikasi kepada PP & PC sekiranya tempoh kontrak telah tamat.,Mandatori,,,,,,,,,,,,,,,,,,,,,
11.1.8,Petender dikehendaki menyediakan fungsi surat lanjutan projek.,Mandatori,,,,,,,,,,,,,,,,,,,,,
11.2,Komponen Kecerdasan AI  – OCR untuk Pengurusan Jaminan / Cagaran,,,,,,,,,,,,,,,,,,,,,,
11.2.1,"Petender hendaklah menyediakan AI OCR untuk pengenalpastian dokumen cagaran seperti inden, SST, Purchase Order (PO), Letter of Offer (LO), surat perjanjian secara automatik dan lain-lain yang berkaitan. ",Mandatori,,,,,,,,,,,,,,,,,,,,,
11.2.2,"Petender perlu membangunkan fungsi AI Document Classification untuk mengklasifikasikan dokumen cagaran yang dimuat naik (Geran, Resit, Surat Perjanjian) secara automatik ke folder kategori. ",Mandatori,,,,,,,,,,,,,,,,,,,,,
TAMAT MODUL PENGURUSAN JAMINAN / CAGARAN,,,,,,,,,,,,,,,,,,,,,,,
