PEMBANGUNAN SISTEM PENGURUSAN PEMBIAYAAN TEKUN NASIONAL (SPPT),,,,,,,,,,,,,,,,,,,,,,,
JADUAL PEMATUHAN SPESIFIKASI TEKNIKAL,,,,,,,,,,,,,,,,,,,,,,,
NO. TENDER : TEKUN/JP/TENDER2026/SPPT (1),,,,,,,,,,,,,,,,,,,,,,,
Mohon isi Maklum Balas YA / TIDAK (Wajib Dilengkapkan) dan Cadangan/Catatan (Sekiranya Ada) di Kotak Berwarna Biru,,,,,,,,,,,,,,,,,,,,,,,
BIL.,SPESIFIKASI PERKHIDMATAN,PEMATUHAN,MAKLUM BALAS (WAJIB PILIH YA / TIDAK),CADANGAN/CATATAN,,,,,,,,,,,,,,,,,,,
7,MODUL TINDAKAN UNDANG-UNDANG & LITIGASI,,,,,,,,,,,,,,,,,,,,,,
7.1,Pelantikan Firma Guaman Sebagai Panel Peguamcara TEKUN,,,,,,,,,,,,,,,,,,,,,,
7.1.1,"Petender hendaklah menyediakan fungsi pelantikan panel peguam di mana panel peguam hendaklah memenuhi syarat berdasarkan JUU/BORANG/02. Semakan dan penilaian keperluan lantikan panel peguam oleh Bahagian Penyeliaan Kredit (BSK). Jika setuju, Jabatan Undang-Undang (JUU) akan sahkan. Jika setuju, makluman tawaran pelantikan kepada panel peguam melalui sistem SPPT. Jika tidak setuju, sistem akan mengeluarkan maklumbalas kepada panel peguam. Pengeluaran surat lantikan jika berjaya. Penilaian oleh JUU dan borang dihantar semula (notification dalam sistem) ke BSK untuk pengesahan. Generate surat pelantikan & penolakan. Panel peguam akan menerima notifikasi melalui emel/sebagainya. Pengesahan penyelia (workflow). Admin jabatan boleh update/kemaskini surat.",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.1.2,Petender hendaklah menyediakan fungsi direktori panel peguam untuk mengemaskini direktori panel peguam. Makluman (notifikasi) lantikan kepada BSK.,Mandatori,,,,,,,,,,,,,,,,,,,,,
7.2,Pengenalpastian Akaun Berstatus NPF,,,,,,,,,,,,,,,,,,,,,,
7.2.1,"Petender hendaklah menyediakan fungsi pengenalpastian akaun berstatus NPF iaitu sebelum notis dikeluarkan, sistem memastikan akaun telah bertunggakan melebihi 3 bulan berstatus NPF (>90 hari tunggakan), akaun belum dikenakan NOD dan kriteria-kriteria lain. Submit senarai oleh pegawai BSK.",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.2.2,"Petender hendaklah menyediakan fungsi pengesahan dalaman bagi akaun berstatus NPF iaitu senarai akaun yang telah disubmit oleh pegawai dengan parameter berstatus NPF (>90 hari tunggakan). Semak kedudukan penggiliran NOD dengan kriteria iaitu anggaran 1000 NOD untuk setiap panel, mengikut penggiliran yang ditetapkan oleh admin jabatan atau secara auto. Pengesahan BSK / Jawatankuasa untuk keputusan. Cadangan JUU & BSK untuk integrasi dengan Insolvensi Notification System yang boleh kenalpasti senarai yang telah bankrap dan sebagainya. Proses auto tagging selepas upload file.
Nota : Penetapan parameter / kriteria oleh admin jabatan.",Mandatori,,,,,,,,,,,,,,,,,,,,,
7.3,Penyediaan Dokumen Lengkap untuk Memulakan Tindakan Dalaman / Tindakan Panel Peguam,,,,,,,,,,,,,,,,,,,,,,
